"","siteID","fPAR","mean.height_mean","height.2_mean","mean.height.var_mean","mean.height.rms_mean","mode.el_mean","max.el_mean","mode.2_mean","max.can.ht_mean","mean.max.ht_mean","mean.vai_mean","mean.peak.vai_mean","deep.gaps_mean","deep.gap.fraction_mean","porosity_mean","std.std_mean","mean.std_mean","rugosity_mean","top.rugosity_mean","mean.return.ht_mean","sd.return.ht_mean","sky.fraction_mean","cover.fraction_mean","max.ht_mean","scan.density_mean","rumple_mean","clumping.index_mean","enl_mean","mean.height_sd","height.2_sd","mean.height.var_sd","mean.height.rms_sd","mode.el_sd","max.el_sd","mode.2_sd","max.can.ht_sd","mean.max.ht_sd","mean.vai_sd","mean.peak.vai_sd","deep.gaps_sd","deep.gap.fraction_sd","porosity_sd","std.std_sd","mean.std_sd","rugosity_sd","top.rugosity_sd","mean.return.ht_sd","sd.return.ht_sd","sky.fraction_sd","cover.fraction_sd","max.ht_sd","scan.density_sd","rumple_sd","clumping.index_sd","enl_sd","mean.height_var","height.2_var","mean.height.var_var","mean.height.rms_var","mode.el_var","max.el_var","mode.2_var","max.can.ht_var","mean.max.ht_var","mean.vai_var","mean.peak.vai_var","deep.gaps_var","deep.gap.fraction_var","porosity_var","std.std_var","mean.std_var","rugosity_var","top.rugosity_var","mean.return.ht_var","sd.return.ht_var","sky.fraction_var","cover.fraction_var","max.ht_var","scan.density_var","rumple_var","clumping.index_var","enl_var","mean.height_min","height.2_min","mean.height.var_min","mean.height.rms_min","mode.el_min","max.el_min","mode.2_min","max.can.ht_min","mean.max.ht_min","mean.vai_min","mean.peak.vai_min","deep.gaps_min","deep.gap.fraction_min","porosity_min","std.std_min","mean.std_min","rugosity_min","top.rugosity_min","mean.return.ht_min","sd.return.ht_min","sky.fraction_min","cover.fraction_min","max.ht_min","scan.density_min","rumple_min","clumping.index_min","enl_min","mean.height_max","height.2_max","mean.height.var_max","mean.height.rms_max","mode.el_max","max.el_max","mode.2_max","max.can.ht_max","mean.max.ht_max","mean.vai_max","mean.peak.vai_max","deep.gaps_max","deep.gap.fraction_max","porosity_max","std.std_max","mean.std_max","rugosity_max","top.rugosity_max","mean.return.ht_max","sd.return.ht_max","sky.fraction_max","cover.fraction_max","max.ht_max","scan.density_max","rumple_max","clumping.index_max","enl_max"
"1","ARNO",0.944230598545465,9.70099505819643,4.77944409148214,25.746883471125,10.8410583519286,9.64976190482143,7.33099631292857,6.06428438735714,25.8304642857143,13.6159284821429,7.581829785,3.74543736519643,0,0,0.764532306089286,701.313429267321,14.2503977636607,18.94008511525,6.68530372067857,6.61935925010714,4.82794749207143,1.50294516007143,98.4970548398214,25.9039642857143,375.120386905357,5.77755952380357,0.830659175892857,15.8378397667857,4.11235097542121,1.719474910794,17.0996634601418,4.31850706410929,4.22580727365744,0.688298105275846,1.92156912760841,4.74457299530656,4.77945195609087,0.297216193027854,0.293749479946987,0,0,0.041393472128781,613.355750334622,7.3668457772383,9.36904198631409,1.80599431547133,3.57851971184456,2.07973917276683,1.59789077065892,1.59789077078918,4.58468825931109,53.81549200069,1.54391107597709,0.0948903872711225,5.44499167177086,16.9114305450478,2.95659396885003,292.398490450109,18.6495032627618,17.8574471140961,0.47375428172632,3.69242791217773,22.5109729077922,22.8431610005808,0.0883374653979705,0.0862887569691256,0,0,0.00171341953487617,376205.276468548,54.2704167056138,87.7789477413163,3.26161546751477,12.8058033280601,4.32531502674085,2.55325491495696,2.55325491537323,21.0193664350649,2896.10717927633,2.38366141052475,0.00900418559646361,29.6479343056541,5.161653736,1.32630365,1.759081373,5.609389269,4.875,5.247278408,1.920870529,11.051,6.80435,6.697914714,3.099045836,0,0,0.616666667,15.15551408,2.72553578,2.540606073,2.122856549,3.30549739,1.579990311,0,88.86481802,14.051,237.88,2.425,0.5894682,7.356801391,21.13027718,8.077404862,65.24446931,21.85188993,21.375,8,9.42170843,34.928,25.4796,8,4.463857112,0,0,0.836875,2390.880111,27.56780098,40.3843591,10.1744937,17.07197698,9.095829586,11.13518198,100,34.928,508.2,9.625,0.971077966,28.06276923
"2","GRSM",0.971323663964618,12.8948569262069,6.28110600106897,42.0341889872414,14.37147197,12.4411494255172,7.19552086037931,8.54303881734483,33.5020689655172,20.2728162644828,7.00819332817241,3.12185291565517,0,0,0.737230517862069,2516.3471030931,31.6105560710345,33.5554814168966,8.9218706227931,8.79023679110345,6.90337371203448,5.92385617196552,94.076143827931,33.5020689655172,612.085517241379,7.4337356322069,0.915934921724138,25.0518647268966,2.69029735361052,1.63526969628769,22.766353187829,2.82587478737899,2.81043707785555,0.985416610859893,2.11711488932286,4.53342966930143,3.4281270349061,0.773640575323036,0.589636821063019,0,0,0.0579350423236921,2229.48782798009,12.4252597550383,15.8345211675401,2.48747350805287,2.5656713935394,1.86357748935615,6.89806533783201,6.89806533796234,4.53342966930143,85.3344726694567,2.54218393075609,0.0332584724620029,3.92462771495766,7.23769985084376,2.67410697959682,518.306837472973,7.98556831394424,7.89855656858522,0.971045896958597,4.48217545459253,20.5519845665025,11.7520549674541,0.598519739786158,0.347671580753302,0,0,0.00335646912904799,4970615.97511139,154.387079980173,250.732060605274,6.18752445326487,6.58266969962643,3.47292105883499,47.5833054049995,47.5833054067975,20.5519845665025,7281.97222577426,6.46269913779451,0.0011061259905058,15.4027027010138,9.629770508,3.208515898,10.29457427,10.68831566,7.125,4.881887459,4.830193498,22.917,14.9114,5.001833689,2.164341686,0,0,0.617708333,334.6444164,13.68884736,11.43605141,4.156496721,5.598582214,3.347600079,0.265957447,72.25964099,22.917,460.675,3.65,0.839133211,16.77520161,19.65245172,10.97079056,120.3582454,21.47602916,18.725,8,13.81542709,41.326,27.685775,7.867390749,4.279215327,0,0,0.821052632,11026.47692,66.56784072,81.21083367,14.75415982,14.9674911,12.58804213,27.74035901,99.73404255,41.326,799.8666667,12.8,0.964872376,34.96520714
"3","HARV",0.820150903859334,9.75116119990196,3.94227075807843,16.3527916771569,10.541865617098,9.76764705882353,6.81513186884314,5.32845158056863,22.6958039215686,13.5935553921569,7.50799490913726,3.43242546470588,0,0,0.69020113945098,413.929648892353,12.5270428182941,13.4617183123529,5.30271670129412,6.78056742254902,4.48409847745098,1.755887481,98.2441125196078,22.8067254901961,339.903431372549,4.68137254901961,0.857942658039216,16.2196037682353,2.22650233436938,0.909680606315509,7.23706490411704,2.20305749171678,2.33079543352504,1.04885486120657,1.33516038905824,2.92916431781905,2.93754078296504,0.40355421388247,0.393175953522149,0,0,0.0554989480320527,374.176321874168,5.97575421716205,6.44911222291576,1.4882251436257,1.91387519135515,1.11549074457299,1.87951203626713,1.87951203577928,2.8769309903328,64.4558498159026,1.07081561364755,0.0781807581873527,3.46482160722491,4.95731264495229,0.827518805506552,52.3751084264026,4.85346231180941,5.43260735294118,1.10009651987666,1.78265326451014,8.58000360078431,8.62914585158284,0.162856003542298,0.154587330428051,0,0,0.00308013323266449,140007.919851281,35.7096384639301,41.5910484637615,2.21481407811975,3.66291824808471,1.244319601228,3.532565494473,3.53256549263917,8.27673192313725,4154.5565754902,1.14664607843137,0.00611223095074931,12.0049887698926,6.235069627,1.689950247,2.855931838,6.735707064,5.725,4.912341912,2.465661611,16.79,9.394175,6.177206609,2.764902471,0,0,0.523684211,48.35920911,5.132657869,3.524548054,2.183749925,4.12917544,2.718336473,0.008758868,90.94121185,17.882,267.05,2.475,0.654618356,10.49571603,17.34385382,6.103184453,37.24886047,17.93628057,18.175,8,7.769103832,28.616,22.801625,8,4.59151188,0,0,0.794827586,1772.217005,28.97255421,37.01297928,9.544737243,12.81063549,7.006373211,9.058788152,99.99124113,28.616,634.775,7.4,0.963067638,25.3630137
"4","MLBS",0.881772718573348,10.87545289825,3.61523911903571,13.565948456,11.4769354808929,10.5332142857143,6.48812634475,4.93809736342857,19.5449285714286,14.8073767857143,6.80702793346429,3.11535041528571,0.214285714285714,0.00535714285714286,0.657700384071429,255.884296790357,11.0120564154643,9.95134849221429,3.72458955928571,8.42460768064286,4.64158685160714,5.54831823539286,94.4516817639286,19.6092857142857,360.746785714286,3.11696428571429,0.892989906392857,15.5039242728571,2.04666902599521,0.717192259961582,5.50076398295832,1.99208549489927,2.19386991675446,0.997910557728539,0.883189620599674,1.89110986281271,2.34034249558938,0.852766447050782,0.531942037660395,1.13389341902768,0.028347335475692,0.0343762633116941,232.604171853446,4.89873236308633,3.59306652676259,1.16370882099663,2.14829948552561,0.733550490627874,5.7720184488649,5.77201844893184,1.82976011091401,45.2020296417114,0.626647959658304,0.0445308720271063,1.41102113838949,4.18885410196818,0.514364737748802,30.2584043962115,3.96840461898806,4.81306521164021,0.995825481226085,0.780023905934997,3.57629651322751,5.47720299666151,0.727210613215615,0.282962331430293,1.28571428571428,0.000803571428571428,0.00118172747927492,54104.7007636274,23.9975787651494,12.9101270657418,1.35421822006537,4.61519067950959,0.538096322300395,33.3161969740367,33.3161969748095,3.34802206349206,2043.22348373016,0.392687665343915,0.00198299856349452,1.99098065298197,7.710347167,2.431913803,5.914204744,8.518896085,8.04,4.872379665,3.518116379,16.446,9.460825,4.031076831,1.691544089,0,0,0.594736842,59.54378087,5.218847731,4.819897922,1.05716277,4.964809441,3.177726713,0.377358491,71.814206,16.446,288.66,1.65,0.771996662,12.00662252,16.12220631,5.27473858,27.82286708,16.44385954,16.175,8,7.099972914,23.619,20.062425,7.986573686,4.147701098,6,0.15,0.746,1161.779425,27.28018911,20.4345469,6.320471837,14.64316706,6.916208417,28.185794,99.62264151,23.619,465.725,4.225,0.949953453,19.00519673
"5","OSBS",0.344847732403487,6.13811936457692,5.07702379173077,26.9203529046795,8.04619357852564,5.9205128205,6.2842914955641,5.03921944446154,15.4634871794872,6.77955596152564,2.51267808147436,1.43491902221795,15.9358974358974,0.399423076935897,0.860618586846154,9.53474785169231,1.15363790153846,2.11769015415385,5.5361831144359,9.19203386246154,2.78042902620513,57.8169179675641,42.1830820323333,16.3750897435897,335.706538461538,3.09066239315385,0.936409109205128,9.7219944421282,2.52672216966058,1.07658805162187,11.2607832897978,2.35551492482496,2.48477523302995,1.45008053739981,1.11218286271517,3.18194589954413,2.88632069094015,1.29045583942288,0.707419153736942,7.4403947381489,0.186816542126412,0.0550491930520863,17.130078407397,0.944531294965487,1.69570590361005,1.17538456669518,2.06843989032015,0.785426265143928,18.7073004295343,18.7073004297324,7.64390604437405,191.135659954692,0.658257261183183,0.0365760128631232,2.63470813811068,6.38432492265425,1.15904183289497,126.805240299789,5.54845056107314,6.17410795867906,2.10273356494573,1.23695072011732,10.1247797076257,8.33084713094924,1.66527627350061,0.500441859073892,55.3594738594738,0.0349004204120696,0.00303041365568587,293.439586243569,0.89213936716918,2.87541851153797,1.38152887962522,4.27844357986763,0.61689441797794,349.963089360853,349.963089368268,58.4292996152181,36532.8405063158,0.433302621900386,0.00133780471696335,6.94168697302666,1.48806168,2.652168052,7.033995375,3.359664774,1.45,0.824279104,2.601651349,9.564,1.5543,0.169232786,0.106756827,1,0.025,0.721052632,0.000571016,0.005288247,0.023303451,2.899507429,4.755648715,1.570546058,17.21023105,6.497915826,9.564,214.925,1.75,0.808901465,2.52238806,12.90870563,8.028952342,64.46407572,13.8875498,12.4,8,8.125774125,21.748,14.584825,5.800166092,3.296173281,32,0.8,0.975,112.9204663,4.629838297,9.600531731,8.568262628,12.97481472,4.630372636,93.50208417,82.78976895,77.05,945.4333333,5.15,0.982548025,17.34359174
"6","RICE",0.913241393965465,11.937067397875,6.159874066125,39.6724921,13.417910178625,11.835416668375,6.953216996375,7.516325752625,31.69425,16.97457083375,7.47358003025,3.623837346125,0,0,0.791459225125,1499.7524064,22.58062033625,28.98791260375,8.503413025875,8.1836179615,6.586997714125,1.451764853625,98.54823514875,31.932125,466.368749975,6.179166666625,0.87356383125,19.2185631975,3.62947428076302,1.40547646797994,17.9385471404104,3.77704632199331,4.56479313022514,0.985241132116419,1.62940673630165,5.81750977038899,4.20536394461277,0.384028755927784,0.352826474834202,0,0,0.0530417851597245,987.783684195664,10.2980653391623,8.0551693061941,0.797905374682248,2.7903356138819,1.70587406833441,1.05129427057349,1.05129426883522,5.71956772686038,106.869326977951,1.13737898365423,0.0887220179236411,5.619851203315,13.1730835547202,1.97536410204538,321.791473508725,14.2660789184832,20.8373363217506,0.970700088414043,2.65496631230518,33.8434199285714,17.685085906649,0.147478085379441,0.12448652134393,0,0,0.00281343097293037,975716.60676316,106.050149729655,64.8857525514516,0.636652986946818,7.78597283809768,2.9100063370158,1.10521964334066,1.10521963968578,32.7134549821428,11421.0530487201,1.29363095245833,0.00787159646444288,31.5827275474011,7.926720504,3.958248447,15.66773077,9.216258459,7.4,5.559600465,6.117245267,25.734,11.48526667,6.888700425,3.082757471,0,0,0.696078431,422.7125952,10.63171897,17.59770289,7.456912822,4.502370146,4.296907037,0.006806889,97.37671838,26.439,299.3333333,4.3,0.729879988,12.10985671,18.16840324,8.576869623,73.56269253,19.5865941,20.56666667,8,10.3306819,45.05,25.70983333,7.992942872,4.072787,0,0,0.88442029,3026.807359,41.61074868,43.59256988,9.922432125,11.44721186,8.925555489,2.623281624,99.99319311,45.05,568.9333333,7.7,0.949644522,28.26470588
"7","SCBI",0.925322866428042,12.9461293407692,5.92514058669231,35.7710094276923,14.2360148046154,12.5711538461538,6.43480143607692,7.94479250661538,29.4330769230769,19.4210826923077,6.842610901,3.10321804546154,0.230769230769231,0.00576923076923077,0.745504198615385,1208.73159996923,23.4173235523077,22.5186524515385,6.696308492,9.94744186523077,6.81064829676923,5.45042186769231,94.5495781323077,29.4840769230769,380.384615384615,5.12115384615385,0.930004401923077,22.7262377476923,1.24622617340741,0.847955379961266,10.1648097967273,1.16298525788231,1.39645556357001,0.725562263159815,1.11480223267388,2.47045796906628,2.39655262496085,0.519729305450261,0.195137568109945,0.832050294337844,0.0208012573584461,0.0358199928019481,914.949342688324,10.0487108760485,8.06640130216271,1.17356308754226,1.13087623232024,1.01030913157929,3.66947516235982,3.66947516180991,2.43341418112969,49.9844606461823,0.896105355241396,0.0370058683422891,2.3219065143375,1.55307967528568,0.719028326405256,103.323358203643,1.35253471005158,1.95008814102564,0.526440597721592,1.24278401797466,6.10316257692308,5.74346448420673,0.270118550943811,0.0380786704878633,0.692307692307692,0.000432692307692308,0.00128307188433162,837132.299685795,100.976590270415,65.0668299675323,1.37725032044172,1.27888105282682,1.02072454135249,13.4650479671756,13.4650479631399,5.92150457692308,2498.44630608974,0.803004807692308,0.00136943429176684,5.39124986132291,10.702655,4.304001785,18.52443136,11.8494862,9.45,5.725122959,6.416924737,26.139,14.199075,5.913501326,2.848888524,0,0,0.683333333,211.8339557,10.26201976,10.32109035,4.648822597,8.149152602,4.766896382,1.198801199,87.43940381,26.139,283.85,2.9,0.822340886,17.18320288,14.36668411,7.488309532,56.07477964,15.4269255,14.25,7.996052871,10.50271638,34.463,23.1697,7.719833273,3.427753242,3,0.075,0.809090909,3222.735941,45.64857772,35.64671853,8.563719341,11.52881161,8.452588895,12.56059619,98.8011988,34.463,492.425,6.3,0.966618126,25.55814866
"8","TALL",0.70076696042989,13.6174841156216,5.37043397513514,33.1959329404054,14.7489202892432,13.2763063062162,6.22933534437838,6.26547738508108,25.7841351351351,17.5397704054054,4.99508173724324,2.25428063483784,2.37837837837838,0.0595045045135135,0.739447977972973,382.216396304,10.8161752265405,12.4780647677838,6.07734453172973,12.3231022954595,5.14517220267568,26.515359524973,73.4846404748649,26.1537027027027,671.201576575676,4.45815315316216,0.894336372189189,17.9876234908649,3.8257776134548,2.11549678165036,25.3277943103543,3.86071658116788,3.73635210163923,1.33255788337321,2.05961943161319,5.63648147321517,4.77435175082012,1.66725979186277,0.806453229991583,4.43691178481004,0.111460468049979,0.0788103705900517,439.54839614537,7.02656061278982,7.94949348770644,2.29284945028064,3.89820369544182,1.71324004057587,21.6800992281329,21.6800992279616,5.96564305868224,184.9134616944,1.00534887255656,0.052496218619248,5.07060144984262,14.6365743476119,4.47532663317302,641.497164627618,14.9051325201046,13.9603270274239,1.77571051254009,4.24203220307864,31.7699233978979,22.7944346405592,2.77975521356227,0.650366812163856,19.6861861861862,0.0124234359379204,0.00621107451254128,193202.792553967,49.3725540452093,63.1944467110871,5.25715860165222,15.1959920511563,2.93519143663242,470.026702541689,470.026702534259,35.5888971036036,34192.9883158062,1.01072635555074,0.00275585296931988,25.7109990631461,6.501565011,2.270518468,5.155254113,8.992479397,6.2,3.415569971,3.171891776,16.485,7.005225,1.121120379,0.584474502,0,0,0.542592593,3.893995938,0.893854921,1.759266699,2.483549744,6.531750338,2.536421637,1.375668728,20.03307546,16.485,428.05,2.575,0.79569696,9.509433962,22.84169877,9.896540608,97.94151601,23.95659536,22.025,7.946924443,10.55340509,36.139,28.92855,7.327812412,3.565525858,20,0.5,0.895,1664.998032,31.98532328,31.92715751,12.05090692,22.23283803,9.072156076,79.96692454,98.62433127,39.073,1375.8,6.875,0.974984433,31.22754154
"9","TREE",0.865763566261582,10.7424760234643,4.96127693310714,25.9228109328929,11.9118780228214,10.6020833333214,6.65410079257143,5.48659820696429,22.5113571428571,13.1057630953571,5.12122615310714,2.51964751342857,4.5,0.1125,0.774245678142857,138.425812922857,6.364116927,8.50849981882143,6.00485032125,9.51891174867857,4.29613773321429,30.7235217125,69.2764782875,22.5204285714286,583.215476189286,4.32708333332143,0.913910569892857,15.2692986021429,3.05249041332405,1.16490628301586,11.723115270741,2.83781788631435,3.21491238625342,1.02964263039862,1.03494031261344,6.42535926774346,3.40027360286071,1.69971016795491,0.875630442019614,4.32477787911746,0.108119446977936,0.0538862894273178,140.843892354765,2.79520814721463,4.31990729543675,1.58141014813122,2.82659249066379,0.688701666917639,17.1563002220941,17.1563002221259,6.42561270996103,114.642241460641,1.0348769459406,0.0466605430657939,2.25909153190586,9.31769772343524,1.35700664820984,137.43143165108,8.05321035588565,10.3356616512856,1.0601639463342,1.0711014506724,41.2852417195767,11.5618605743113,2.88901465504929,0.766728670991464,18.7037037037037,0.0116898148148148,0.00290373218824467,19837.0020136407,7.81318858625506,18.6615990411676,2.50085805661242,7.98962510827692,0.474309986015135,294.338637310628,294.338637311718,41.2884986984127,13142.84352712,1.07097029323935,0.0021772062791948,5.10349454952875,5.759091743,2.605783853,6.790109491,7.416159655,5.35,4.659776138,3.287734083,17.873,7.38375,2.449166832,1.089494547,0,0,0.649122807,17.45529099,2.237065658,3.528573115,3.571893941,4.673469978,2.796564869,0.250255944,43.92160325,17.873,439.675,2.7,0.804044074,10.83022339,17.31249065,6.773554473,45.8810402,17.70193547,17.175,8,6.92801818,54.034,19.564125,7.871059671,4.277999154,15,0.375,0.914090909,735.9539674,12.27285919,25.80413108,9.562702274,15.47746426,5.351305833,56.07839675,99.74974406,54.034,849.65,6.5,0.967684898,18.94698503
"10","UNDE",0.680300952203293,12.4174636599565,4.31632494482609,19.8471752182609,13.2089006656087,12.2950724634783,6.63428667026087,5.43329110917391,22.834347826087,16.1650042026087,6.22465236673913,2.92842690769565,0.478260869565217,0.0108695652173913,0.713935049086956,289.474813096522,10.4448397914348,11.8597402686087,4.54270851691304,9.62651278913043,5.09206812343478,12.5119689941304,87.4880310065217,22.898347826087,590.544637678261,4.15934782608696,0.880588493217391,16.625677233913,4.08781475936097,1.12774566684282,9.90820333192853,3.96712135050111,4.20175881488177,0.967716696787677,1.36916739579223,2.68710708939585,4.14705037668736,0.748260497922049,0.421961902902401,1.03877398090211,0.0229452002265993,0.0277254843689163,228.683815096203,4.34719192964694,4.75755996303476,1.40368730463155,3.54368304909819,1.17443883859598,7.36753635897031,7.36753635966515,2.70306145641459,102.182543746608,1.3276355281677,0.0852071958406295,3.32966354972716,16.7102295068494,1.27181028908275,98.1724932668396,15.7380518096017,17.6547771384366,0.936475605241653,1.87461935770046,7.22054450988142,17.1980268267828,0.559893772750553,0.178051847501015,1.07905138339921,0.000526482213438735,0.000768702483491023,52296.2872869544,18.8980776731875,22.6343768018713,1.97033804918379,12.5576895524658,1.37930658560268,54.2805920007496,54.2805920109879,7.30654123715415,10441.2722465275,1.76261609565314,0.00726026622302339,11.0866593543817,6.348669988,2.2401623,5.018327129,6.911780115,6.05,5.197913011,2.782269872,14.363,7.72985,4.263862757,2.160782251,0,0,0.661904762,28.20250301,3.230001658,4.215399424,1.60906224,4.344925055,2.764052532,1.566977402,70.23854174,14.363,422.475,2.25,0.659080561,10.07074419,20.79715486,6.700829531,44.9011164,20.91345739,20.73333333,8,8.365642495,26.288,22.71553333,7.749923389,3.679872102,4,0.08,0.772826087,889.3098717,19.66240499,22.42096567,7.106429184,16.40469373,7.479591638,29.76145826,98.4330226,26.288,765.525,6.625,0.957306638,21.51219512
"11","UVAX",0.884482948773623,11.6823883467368,4.75918818278947,23.6421698360526,12.6170198484737,11.1008771931579,6.334429249,6.80811388610526,26.1265263157895,18.7739311405263,6.56660317557895,2.91261111068421,0,0,0.711778055263158,907.7740197,21.99286456,18.5960983810526,5.36006566136842,9.03943679973684,6.14338410447368,5.65881731473684,94.3411826852632,26.1481052631579,362.464473684211,4.51929824563158,0.929907864263158,21.0820848794737,1.82146056577656,1.02343799259289,9.78979408892141,1.90256897802402,2.12272008181065,1.01796492045484,1.11837424417238,2.86818476021219,2.31433211137638,0.544759170504986,0.313103429670388,0,0,0.0528941224987973,504.212701888671,7.83604257358443,4.60629925712739,1.30290028203828,1.53112347214923,1.00753854186895,3.69528743626252,3.69528743635144,2.88253640036257,61.2201193076339,0.899404177883096,0.0293995692182494,2.26737050877563,3.31771859267908,1.04742532468256,95.8400683034807,3.61976871613936,4.50594054572222,1.03625257927664,1.25076095002814,8.22648381871345,5.35613312174783,0.296762553849281,0.0980337576713597,0,0,0.00279778819491778,254230.448745874,61.4035632150276,21.2179928462123,1.69754914493542,2.34433908696632,1.01513391335141,13.6551492365997,13.6551492372568,8.3090160994152,3747.90300804093,0.808927875193567,0.000864334670218638,5.14096902406544,8.572974336,3.05550683,9.336121985,9.138935871,7.35,4.689593919,4.707876651,22.547,13.89295,5.246710714,2.209803018,0,0,0.604166667,302.4541027,11.06975897,10.6734346,2.909039665,5.906363365,4.358506986,1.404832624,84.70090374,22.547,242.625,2.925,0.857585246,17.17791411,16.49569316,6.784730059,46.03256197,17.4047936,16.075,8,8.876611446,32.293,24.179175,7.315985008,3.461908047,0,0,0.794354839,1938.026202,37.43716645,28.75146738,7.479469476,12.05448138,8.298970669,15.29909626,98.59516738,32.293,470.45,6.3,0.971538676,25.50107527
